barcode,collAbbreviation,collNo_Text,collector_Text,collrTeam_Text,country,county,family,genus,herbariumCode,herbariumDetailsUrl,collectionID,infraspecies,infraspecies_Author1_Text,infraspecies_Author2_Text,photoExists,plantID,rank,species,species_Author1_Text,species_Author2_Text,Continent,Collection Date,Locality,DetDate_Text,Habitat,RepState1,RepState2,RepState3,RepState4,Type,PlDescr,Frequency,elevL,ElevH,ElevUnits,Endangered,Named_Place,LongDecL,LongDirL,LatDecL,LatDirL,SpecimenImageURL
216388,null,16436,S. L. Orzell,E.L. Bridges,USA,Sumter Co.,Lythraceae,Ammannia,null,null,85189,null,null,null,TRUE,3617,null,latifolia,L.,null,North America,4/29/91,"N side of Center Grade Road, ca. 1.3 mi. E of junction FL 471, near Weeks Pond and N of Gator Hole Slough, ca. 7.7 mi. S of junction FL 50 at Tarrytown. T23S, R23E, Sec. 29, NW¼.",null,Wet marly pnie flatwoods and cypress [Taxodium] pond edges. Soils - Vero (Alfic Haplaquods).,Fertile,null,null,null,null,null,null,90,92,ft,FALSE,Withlacoochee State Forest,-82.03611111,W,28.45833333,N,https://cdn.plantatlas.org/img/specimens/USF/216388.jpg
105126,null,1887,P. Genelle,G. Fleming,USA,Citrus Co.,Fabaceae,Amorpha,null,null,420,herbacea,null,null,TRUE,3173,var.,herbacea,Walter,null,North America,5/27/73,"Citrus section TR22, Dames Cave area.",1973,Shaded sandy.,Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.45,W,28.8667,N,https://cdn.plantatlas.org/img/specimens/USF/105126.jpg
104633,null,1750,P. Genelle,G. Fleming,USA,Citrus Co.,Apocynaceae,Amsonia,null,null,140022,null,null,null,TRUE,3882,null,ciliata,Walter,null,North America,4/15/73,"Withlacoochee State Forest, FL 480.",null,"Edge of forest, sandy, full sun.",Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-84.6667,W,30.2333,N,https://cdn.plantatlas.org/img/specimens/USF/104633.jpg
104728,null,1755,P. Genelle,G. Fleming,USA,Hernando Co.,Apocynaceae,Amsonia,null,null,140034,null,null,null,TRUE,3882,null,ciliata,Walter,null,North America,4/22/73,"Withlacoochee State Forest, Croom Road; road shoulder.",null,"Dry, sandy in full sun.",Flower,null,null,null,null,null,null,null,null,null,FALSE,null,-82.227588,W,28.587772,N,https://cdn.plantatlas.org/img/specimens/USF/104728.jpg
190416,null,35,C. vanHoek,,USA,Hernando Co.,Poaceae,Andropogon,null,null,43564,null,null,null,TRUE,2415,null,brachystachyus,Chapm.,null,North America,10/13/86,"Croom Hiking Trail, loop B, S of Croom Road, 5 mi. E of Brooksville.  T22S, R20E, Sec. 12.",null,Sandhills.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.387871,W,28.555272,N,https://cdn.plantatlas.org/img/specimens/USF/190416.jpg
304366,null,s.n.,C. Werner,,USA,Citrus Co.,Poaceae,Andropogon,null,null,250277,null,null,null,TRUE,668,null,gerardi,Vitman,null,North America,10/29/21,Citrus Tract.,null,"Sandhill, close to ecotone with mesic hammock; under Pinus palustris, with Setaria parviflorz and Ageratina jucunda.",Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.4269,W,28.7999,N,https://cdn.plantatlas.org/img/specimens/USF/304366.jpg
57408,null,26797,O. K. Lakela,,USA,Citrus Co.,Schizaeaceae,Anemia,null,null,18430,null,null,null,TRUE,2718,null,adiantifolia,L.,Sw.,North America,1/26/64,Withlacoochee River State Forest.,null,"Low vertical outcrop of limestone, ""pink"" limestone grotto.",Fertile,null,null,null,null,Most fruiting plants withered.,null,null,null,null,FALSE,null,-81.8167,W,28.35,N,https://cdn.plantatlas.org/img/specimens/USF/57408.jpg
55289,null,25787,O. K. Lakela,,USA,Citrus Co.,Schizaeaceae,Anemia,null,null,18463,null,null,null,TRUE,2718,null,adiantifolia,L.,Sw.,North America,4/13/63,"Off FL 491, S of Lecanto.",null,In crevices of pink limestone outcrop.,null,null,null,null,null,null,Rare,null,null,null,FALSE,Withlacoochee State Forest,-82.487598,W,28.851649,N,https://cdn.plantatlas.org/img/specimens/USF/55289.jpg
192495,null,82,C. vanHoek,,USA,Citrus Co.,Poaceae,Anthenantia,null,null,45267,null,null,null,TRUE,2074,null,villosa,Michx.,P. Beauv.,North America,9/26/87,"Along the Florida Trail in the Citrus Wildlife Management Area.  T20S, R18E, Sec. 20.",null,Dry sandhill.,Flower,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.45,W,28.8667,N,https://cdn.plantatlas.org/img/specimens/USF/192495.jpg
190494,null,30,C. vanHoek,,USA,Hernando Co.,Poaceae,Anthenantia,null,null,45291,null,null,null,TRUE,2074,null,villosa,Michx.,P. Beauv.,North America,9/15/86,"Croom Hiking Trail, Loop C, between powerline route and Smith Prairie.  T22S, R20E, Sec. 11.",null,Sandhill.,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.227588,W,28.587772,N,https://cdn.plantatlas.org/img/specimens/USF/190494.jpg
306743,null,10912,L. Baltzell,null,USA,Citrus Co.,Poaceae,Anthenantia,null,null,253514,null,null,null,TRUE,2074,null,villosa,Michx.,P. Beauv.,North America,9/24/79,"S of FL 44, 7.3 mi. W of Inverness.",null,null,Fertile,null,null,null,null,Several scattered plants; flowers reddish.,null,null,null,null,FALSE,Withlacoochee State Forest.,null,null,null,null,https://cdn.plantatlas.org/img/specimens/USF/306743.jpg
205371,null,290,C. vanHoek,S. Petty,USA,Hernando Co.,Apocynaceae,Apocynum,null,null,69780,null,null,null,TRUE,3896,null,cannabinum,L.,null,North America,7/17/92,"Croom Wildlife Management Area, ca. 4 mi. SW of Nobleton.  T22S, R20E, Sec. 3.",null,"Open, moist area.",null,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.263978,W,28.645547,N,https://cdn.plantatlas.org/img/specimens/USF/205371.jpg
104672,null,1740,P. Genelle,G. Fleming,USA,Citrus Co.,Papaveraceae,Argemone,null,null,79480,null,null,null,TRUE,2278,null,albiflora,Hornem.,null,North America,4/15/73,"FL 480, 0.5 mi. W of FL 491.",null,"Roadside, sandy, full sun.",Flower,Immature Fruit,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-81.8167,W,28.35,N,https://cdn.plantatlas.org/img/specimens/USF/104672.jpg
228596,null,19110,S. L. Orzell,E.L. Bridges,USA,Sumter Co.,Araceae,Arisaema,null,null,101739,null,null,null,TRUE,594,null,triphyllum,L.,Schott,North America,3/2/92,"Edges on N side of Center Grade Road ca. 1.3 mi. E of junction FL 471, near Weeks Pond and N of Gator Hole Slough, ca. 7.7 mi. S of junction FL 50 at Tarrytown. T23S, R23E, Sec. 29, NW¼.",null,Hydric hammock.,Flower,null,null,null,null,null,null,90,92,ft,FALSE,Withlacoochee State Forest,-82.03611111,W,28.45833333,N,https://cdn.plantatlas.org/img/specimens/USF/228596.jpg
223437,null,1163,C. vanHoek,"V. Morris, J. Buckner",USA,Hernando Co.,Poaceae,Aristida,null,null,45792,null,null,null,TRUE,2137,null,mohrii,Nash,null,North America,9/18/98,"Croom Wildlife Management Area.  T22S, R20E, Sec. 1, S½.",null,"Sandhills; in association with Quercus laevis, Pinus palustris, and Aristida beyrichiana [A. stricta var. beyrichiana].",Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-82.227588,W,28.587772,N,https://cdn.plantatlas.org/img/specimens/USF/223437.jpg
231260,null,s.n.,S. Taylor,,USA,Hernando Co.,Poaceae,Aristida,null,null,46138,purpurascens,null,null,TRUE,832,var.,purpurascens,Poir.,null,North America,10/22/01,"Clayridge.  T21S, R19E, Sec. 28.",null,null,Fertile,null,null,null,null,null,null,null,null,null,FALSE,Withlacoochee State Forest,-81.8167,W,28.35,N,https://cdn.plantatlas.org/img/specimens/USF/231260.jpg
